id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_kelamin,jumlah_kasus_meninggal,satuan,tahun
441,32,JAWA BARAT,3205,KABUPATEN GARUT,LAKI-LAKI,5,ORANG,2022
442,32,JAWA BARAT,3205,KABUPATEN GARUT,PEREMPUAN,5,ORANG,2022
443,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,LAKI-LAKI,4,ORANG,2022
444,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PEREMPUAN,3,ORANG,2022
445,32,JAWA BARAT,3207,KABUPATEN CIAMIS,LAKI-LAKI,3,ORANG,2022
446,32,JAWA BARAT,3207,KABUPATEN CIAMIS,PEREMPUAN,5,ORANG,2022
447,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,LAKI-LAKI,5,ORANG,2022
448,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,PEREMPUAN,10,ORANG,2022
449,32,JAWA BARAT,3209,KABUPATEN CIREBON,LAKI-LAKI,7,ORANG,2022
450,32,JAWA BARAT,3209,KABUPATEN CIREBON,PEREMPUAN,4,ORANG,2022
451,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,LAKI-LAKI,3,ORANG,2022
452,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PEREMPUAN,2,ORANG,2022
453,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,LAKI-LAKI,4,ORANG,2022
454,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,PEREMPUAN,13,ORANG,2022
455,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,LAKI-LAKI,3,ORANG,2022
456,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,PEREMPUAN,2,ORANG,2022
457,32,JAWA BARAT,3213,KABUPATEN SUBANG,LAKI-LAKI,5,ORANG,2022
458,32,JAWA BARAT,3213,KABUPATEN SUBANG,PEREMPUAN,5,ORANG,2022
459,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,LAKI-LAKI,0,ORANG,2022
460,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,PEREMPUAN,1,ORANG,2022
461,32,JAWA BARAT,3215,KABUPATEN KARAWANG,LAKI-LAKI,5,ORANG,2022
462,32,JAWA BARAT,3215,KABUPATEN KARAWANG,PEREMPUAN,8,ORANG,2022
463,32,JAWA BARAT,3216,KABUPATEN BEKASI,LAKI-LAKI,0,ORANG,2022
464,32,JAWA BARAT,3216,KABUPATEN BEKASI,PEREMPUAN,2,ORANG,2022
465,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,LAKI-LAKI,5,ORANG,2022
